system,coverage,selective_error
fixed::alignscore,0.7000000000000001,0.20313465783664458
fixed::alignscore,0.7200000000000001,0.2044206008583691
fixed::alignscore,0.74,0.20630480167014617
fixed::alignscore,0.76,0.20821472143147624
fixed::alignscore,0.78,0.21283676703645008
fixed::alignscore,0.8,0.21981460023174973
fixed::alignscore,0.8200000000000001,0.22558402411454406
fixed::alignscore,0.8400000000000001,0.22766740250183962
fixed::alignscore,0.86,0.2296442687747035
fixed::alignscore,0.88,0.23195224719101123
fixed::alignscore,0.9,0.23760302197802194
fixed::alignscore,0.92,0.24386966745045352
fixed::alignscore,0.9400000000000001,0.25003287310979616
fixed::alignscore,0.9600000000000001,0.25577727711618925
fixed::alignscore,0.98,0.2625670135603911
fixed::alignscore,1.0,0.2704882571075401
fixed::lettuce_v2,0.02,0.4999999999999999
fixed::lettuce_v2,0.04,0.5007751937984496
fixed::lettuce_v2,0.06,0.5376288659793814
fixed::lettuce_v2,0.08,0.5918918918918917
fixed::lettuce_v2,0.1,0.6348765432098765
fixed::lettuce_v2,0.12000000000000001,0.665979381443299
fixed::lettuce_v2,0.13999999999999999,0.6951434878587196
fixed::lettuce_v2,0.16,0.7198841698841699
fixed::lettuce_v2,0.18,0.7345360824742269
fixed::lettuce_v2,0.19999999999999998,0.7454404945904172
fixed::lettuce_v2,0.22,0.7474719101123595
fixed::lettuce_v2,0.24,0.744015444015444
fixed::lettuce_v2,0.26,0.7434007134363851
fixed::lettuce_v2,0.28,0.7375275938189845
fixed::lettuce_v2,0.30000000000000004,0.7376930998970134
fixed::lettuce_v2,0.32,0.7372586872586873
fixed::lettuce_v2,0.34,0.7395454545454545
fixed::lettuce_v2,0.36000000000000004,0.7392274678111587
fixed::lettuce_v2,0.38,0.7281300813008129
fixed::lettuce_v2,0.4,0.7132148377125193
fixed::lettuce_v2,0.42000000000000004,0.6958057395143488
fixed::lettuce_v2,0.44,0.676755617977528
fixed::lettuce_v2,0.46,0.6565480188045669
fixed::lettuce_v2,0.48000000000000004,0.6387636831938185
fixed::lettuce_v2,0.5,0.6225587144622992
fixed::lettuce_v2,0.52,0.608972073677956
fixed::lettuce_v2,0.54,0.5935317687464224
fixed::lettuce_v2,0.56,0.5792494481236203
fixed::lettuce_v2,0.5800000000000001,0.5638252530633989
fixed::lettuce_v2,0.6,0.5491761071060763
fixed::lettuce_v2,0.62,0.5381355932203389
fixed::lettuce_v2,0.64,0.526943505552873
fixed::lettuce_v2,0.66,0.5184456928838952
fixed::lettuce_v2,0.68,0.510090909090909
fixed::lettuce_v2,0.7000000000000001,0.5025607064017661
fixed::lettuce_v2,0.7200000000000001,0.4929184549356222
fixed::lettuce_v2,0.74,0.48488517745302717
fixed::lettuce_v2,0.76,0.47881252541683617
fixed::lettuce_v2,0.78,0.4708003169572107
fixed::lettuce_v2,0.8,0.46427191966010045
fixed::lettuce_v2,0.8200000000000001,0.4575357950263753
fixed::lettuce_v2,0.8400000000000001,0.44915378955114055
fixed::lettuce_v2,0.86,0.4407114624505929
fixed::lettuce_v2,0.88,0.43216292134831463
fixed::lettuce_v2,0.9,0.4230769230769231
fixed::lettuce_v2,0.92,0.4140745717164931
